"Table","Year","MsCode","CatCode","HECCode","Estimate","RSE","LowerCIB","UpperCIB","Flag"
"T1","2019","M001","C000A","01.1","       23.50","        4.0","22.6","24.5"," "
"T1","2019","M001","C000A","01.1.01","        9.60","        4.7","9.2","10.1"," "
"T1","2019","M001","C000A","01.1.02","       13.90","        4.5","13.3","14.6"," "
"T1","2019","M001","C000A","01.2","       28.10","        5.3","26.6","29.6"," "
"T1","2019","M001","C000A","01.2.01","       23.30","        5.3","22.1","24.6"," "
"T1","2019","M001","C000A","01.2.02","        4.80","       10.5","4.3","5.3"," "
"T1","2019","M001","C000A","01.3","      102.90","        3.3","99.5","106.3"," "
"T1","2019","M001","C000A","01.3.01","       18.30","        4.2","17.5","19"," "
"T1","2019","M001","C000A","01.3.02","       15.50","        4.5","14.8","16.2"," "
"T1","2019","M001","C000A","01.3.03","        3.30","        7.7","3","3.5"," "
"T1","2019","M001","C000A","01.3.04","        5.20","        6.9","4.8","5.6"," "
"T1","2019","M001","C000A","01.3.05","       13.10","        6.1","12.3","13.9"," "
"T1","2019","M001","C000A","01.3.06","       47.50","        7.6","43.9","51.2"," "
"T1","2019","M001","C000A","01.4","       11.50","        6.6","10.7","12.2"," "
"T1","2019","M001","C000A","01.4.01","        3.90","       11.0","3.5","4.4"," "
"T1","2019","M001","C000A","01.4.02","        7.50","        6.4","7.1","8"," "
"T1","2019","M001","C000A","01.5","       67.80","        8.0","62.3","73.2"," "
"T1","2019","M001","C000A","01.5.01","       26.50","        8.2","24.3","28.7"," "
"T1","2019","M001","C000A","01.5.02","       39.10","        5.1","37.1","41"," "
"T1","2019","M001","C000A","01.5.03","        2.20","      182.8","-1.8","6.2"," "
"T1","2019","M001","C000A","01","      233.80","        2.9","227","240.6"," "
"T1","2019","M001","C000A","02.1","       20.60","        7.5","19","22.1"," "
"T1","2019","M001","C000A","02.1.01","        7.10","       10.1","6.4","7.8"," "
"T1","2019","M001","C000A","02.1.02","        7.90","       10.5","7.1","8.7"," "
"T1","2019","M001","C000A","02.1.03","        2.10","       24.8","1.6","2.6"," "
"T1","2019","M001","C000A","02.1.04","        3.50","       18.8","2.8","4.1"," "
"T1","2019","M001","C000A","02.2","        8.80","       13.4","7.6","9.9"," "
"T1","2019","M001","C000A","02.2.00","        8.80","       13.4","7.6","9.9"," "
"T1","2019","M001","C000A","02.3"," "," "," "," ","S"
"T1","2019","M001","C000A","02.3.00"," "," "," "," ","S"
"T1","2019","M001","C000A","02","       29.40","        6.8","27.4","31.4"," "
"T1","2019","M001","C000A","03.1","       29.00","       10.0","26.1","31.9"," "
"T1","2019","M001","C000A","03.1.01","        9.90","       15.5","8.4","11.4"," "
"T1","2019","M001","C000A","03.1.02","        4.50","       28.2","3.2","5.8"," "
"T1","2019","M001","C000A","03.1.03","       10.30","       14.4","8.9","11.8"," "
"T1","2019","M001","C000A","03.1.04","        2.00","       18.8","1.6","2.4"," "
"T1","2019","M001","C000A","03.1.05","        0.70","       20.2","0.6","0.9"," "
"T1","2019","M001","C000A","03.1.06","        0.70","       37.0","0.5","1"," "
"T1","2019","M001","C000A","03.1.07","        0.80","       35.3","0.5","1.1"," "
"T1","2019","M001","C000A","03.2","        7.70","       16.7","6.4","9"," "
"T1","2019","M001","C000A","03.2.01","        3.10","       25.0","2.3","3.9"," "
"T1","2019","M001","C000A","03.2.02","        1.20","       54.6","0.6","1.9"," "
"T1","2019","M001","C000A","03.2.03","        2.20","       29.0","1.6","2.9"," "
"T1","2019","M001","C000A","03.2.04","        1.00","       43.1","0.6","1.4"," "
"T1","2019","M001","C000A","03.2.05","        0.20","       40.5","0.1","0.3"," "
"T1","2019","M001","C000A","03","       36.70","        9.4","33.3","40.2"," "
"T1","2019","M001","C000A","04.1","      123.40","        6.4","115.5","131.4"," "
"T1","2019","M001","C000A","04.1.01","      120.80","        6.4","113","128.5"," "
"T1","2019","M001","C000A","04.1.02","        2.70","       26.8","2","3.4"," "
"T1","2019","M001","C000A","04.2","      104.40","       13.4","90.4","118.4"," "
"T1","2019","M001","C000A","04.2.01","       69.30","        8.5","63.5","75.2"," "
"T1","2019","M001","C000A","04.2.02","        4.00","       26.3","3","5.1"," "
"T1","2019","M001","C000A","04.2.03","       31.10","       35.1","20.2","42"," "
"T1","2019","M001","C000A","04.3","       28.60","       16.7","23.8","33.3"," "
"T1","2019","M001","C000A","04.3.01","       10.00","       27.0","7.3","12.7"," "
"T1","2019","M001","C000A","04.3.02","       18.60","       21.0","14.7","22.5"," "
"T1","2019","M001","C000A","04.4","       39.80","        4.3","38.1","41.5"," "
"T1","2019","M001","C000A","04.4.01","        4.60","        7.7","4.2","4.9"," "
"T1","2019","M001","C000A","04.4.02","        1.20","       21.5","0.9","1.5"," "
"T1","2019","M001","C000A","04.4.03","       33.80","        4.5","32.3","35.3"," "
"T1","2019","M001","C000A","04.4.04","        0.20","       54.3","0.1","0.3"," "
"T1","2019","M001","C000A","04.5","       44.70","        2.6","43.5","45.9"," "
"T1","2019","M001","C000A","04.5.01","       37.00","        3.1","35.8","38.1"," "
"T1","2019","M001","C000A","04.5.02","        3.10","        8.7","2.8","3.4"," "
"T1","2019","M001","C000A","04.5.03","        1.10","       12.4","1","1.2"," "
"T1","2019","M001","C000A","04.5.04","        0.10","       81.4","0","0.1"," "
"T1","2019","M001","C000A","04.5.05","        3.50","       14.6","3","4"," "
"T1","2019","M001","C000A","04.6","        3.70","       34.3","2.4","4.9"," "
"T1","2019","M001","C000A","04.6.00","        3.70","       34.3","2.4","4.9"," "
"T1","2019","M001","C000A","04","      344.50","        4.8","327.9","361.2"," "
"T1","2019","M001","C000A","05.1","       13.60","       14.2","11.7","15.5"," "
"T1","2019","M001","C000A","05.1.01","       10.50","       16.2","8.8","12.2"," "
"T1","2019","M001","C000A","05.1.02","        2.70","       28.2","2","3.5"," "
"T1","2019","M001","C000A","05.1.03","        0.40","      105.0","0","0.8"," "
"T1","2019","M001","C000A","05.2","        4.90","       17.4","4","5.7"," "
"T1","2019","M001","C000A","05.2.00","        4.90","       17.4","4","5.7"," "
"T1","2019","M001","C000A","05.3","       10.30","       17.9","8.4","12.1"," "
"T1","2019","M001","C000A","05.3.01","        8.40","       21.1","6.7","10.2"," "
"T1","2019","M001","C000A","05.3.02","        1.30","       41.2","0.8","1.8"," "
"T1","2019","M001","C000A","05.3.03","        0.50","       65.5","0.2","0.9"," "
"T1","2019","M001","C000A","05.4","        4.10","       15.7","3.5","4.8"," "
"T1","2019","M001","C000A","05.4.00","        4.10","       15.7","3.5","4.8"," "
"T1","2019","M001","C000A","05.5","        5.70","       13.6","4.9","6.5"," "
"T1","2019","M001","C000A","05.5.01","        2.30","       19.8","1.9","2.8"," "
"T1","2019","M001","C000A","05.5.02","        3.40","       17.5","2.8","4"," "
"T1","2019","M001","C000A","05.6","       12.80","       14.1","11","14.6"," "
"T1","2019","M001","C000A","05.6.01","        7.20","        8.7","6.6","7.8"," "
"T1","2019","M001","C000A","05.6.02","        5.60","       29.6","4","7.3"," "
"T1","2019","M001","C000A","05","       51.40","        7.7","47.4","55.3"," "
"T1","2019","M001","C000A","06.1","       13.90","       16.2","11.6","16.1"," "
"T1","2019","M001","C000A","06.1.01","        9.00","       11.5","8","10.1"," "
"T1","2019","M001","C000A","06.1.02","        1.00","       62.2","0.4","1.6"," "
"T1","2019","M001","C000A","06.1.03","        3.90","       46.9","2.1","5.7"," "
"T1","2019","M001","C000A","06.2","       27.10","       11.5","23.9","30.2"," "
"T1","2019","M001","C000A","06.2.01","       15.20","       13.5","13.2","17.3"," "
"T1","2019","M001","C000A","06.2.02","       11.60","       20.6","9.2","14"," "
"T1","2019","M001","C000A","06.2.03","        0.20","       39.9","0.1","0.3"," "
"T1","2019","M001","C000A","06.3","        1.00","      104.9","0","2"," "
"T1","2019","M001","C000A","06.3.00","        1.00","      104.9","0","2"," "
"T1","2019","M001","C000A","06","       41.90","       10.3","37.6","46.2"," "
"T1","2019","M001","C000A","07.1","       77.30","       10.8","69","85.7"," "
"T1","2019","M001","C000A","07.1.01","       30.30","       21.7","23.7","36.8"," "
"T1","2019","M001","C000A","07.1.02","       44.80","       12.4","39.3","50.4"," "
"T1","2019","M001","C000A","07.1.03","        1.10","       39.5","0.6","1.5"," "
"T1","2019","M001","C000A","07.1.04","        1.20","       26.4","0.9","1.5"," "
"T1","2019","M001","C000A","07.2","       74.60","        4.2","71.5","77.7"," "
"T1","2019","M001","C000A","07.2.01","        7.40","       17.7","6.1","8.8"," "
"T1","2019","M001","C000A","07.2.02","       48.50","        4.9","46.1","50.9"," "
"T1","2019","M001","C000A","07.2.03","        4.10","       16.7","3.4","4.8"," "
"T1","2019","M001","C000A","07.2.04","        5.60","       11.1","5","6.2"," "
"T1","2019","M001","C000A","07.2.05","        9.00","        6.1","8.4","9.5"," "
"T1","2019","M001","C000A","07.3","       64.10","        9.9","57.7","70.4"," "
"T1","2019","M001","C000A","07.3.01","        1.10","       50.3","0.6","1.7"," "
"T1","2019","M001","C000A","07.3.02","        5.50","       12.5","4.8","6.2"," "
"T1","2019","M001","C000A","07.3.03","        5.10","       14.0","4.4","5.8"," "
"T1","2019","M001","C000A","07.3.04","       48.90","       11.9","43","54.7"," "
"T1","2019","M001","C000A","07.3.05","        0.40","       83.7","0.1","0.7"," "
"T1","2019","M001","C000A","07.3.06"," "," "," "," ","S"
"T1","2019","M001","C000A","07.3.07","        3.10","       20.4","2.5","3.7"," "
"T1","2019","M001","C000A","07","      216.00","        5.3","204.5","227.6"," "
"T1","2019","M001","C000A","08.1","        1.20","       41.0","0.7","1.8"," "
"T1","2019","M001","C000A","08.1.00","        1.20","       41.0","0.7","1.8"," "
"T1","2019","M001","C000A","08.2","        5.00","       66.7","1.7","8.3"," "
"T1","2019","M001","C000A","08.2.00","        5.00","       66.7","1.7","8.3"," "
"T1","2019","M001","C000A","08.3","       32.70","        3.2","31.7","33.8"," "
"T1","2019","M001","C000A","08.3.00","       32.70","        3.2","31.7","33.8"," "
"T1","2019","M001","C000A","08","       39.00","        9.0","35.5","42.5"," "
"T1","2019","M001","C000A","09.1","        9.90","       12.7","8.6","11.1"," "
"T1","2019","M001","C000A","09.1.01","        3.60","       17.8","2.9","4.2"," "
"T1","2019","M001","C000A","09.1.02","        4.70","       17.6","3.9","5.5"," "
"T1","2019","M001","C000A","09.1.03","        1.00","       27.1","0.7","1.3"," "
"T1","2019","M001","C000A","09.1.04","        0.60","       62.0","0.2","1"," "
"T1","2019","M001","C000A","09.2","        4.90","       33.2","3.3","6.5"," "
"T1","2019","M001","C000A","09.2.00","        4.90","       33.2","3.3","6.5"," "
"T1","2019","M001","C000A","09.3","       28.50","       17.2","23.6","33.4"," "
"T1","2019","M001","C000A","09.3.01","        5.00","       18.4","4.1","5.9"," "
"T1","2019","M001","C000A","09.3.02","        7.90","       53.5","3.7","12.1"," "
"T1","2019","M001","C000A","09.3.03","        6.70","       16.0","5.6","7.7"," "
"T1","2019","M001","C000A","09.3.04","        8.90","       14.8","7.6","10.3"," "
"T1","2019","M001","C000A","09.4","       41.80","        7.7","38.6","45"," "
"T1","2019","M001","C000A","09.4.01","       14.30","       11.5","12.6","15.9"," "
"T1","2019","M001","C000A","09.4.02","       18.30","       10.4","16.4","20.2"," "
"T1","2019","M001","C000A","09.4.03","        4.80","       31.1","3.3","6.3"," "
"T1","2019","M001","C000A","09.4.04","        4.40","       15.2","3.7","5"," "
"T1","2019","M001","C000A","09.5","        7.50","       12.1","6.6","8.4"," "
"T1","2019","M001","C000A","09.5.01","        2.50","       20.6","2","3.1"," "
"T1","2019","M001","C000A","09.5.02","        2.00","       23.5","1.5","2.5"," "
"T1","2019","M001","C000A","09.5.03","        0.80","       18.7","0.6","0.9"," "
"T1","2019","M001","C000A","09.5.04","        2.20","       15.5","1.9","2.6"," "
"T1","2019","M001","C000A","09.6","       30.00","       20.5","23.9","36.2"," "
"T1","2019","M001","C000A","09.6.00","       30.00","       20.5","23.9","36.2"," "
"T1","2019","M001","C000A","09.9","        7.60","       55.8","3.3","11.8"," "
"T1","2019","M001","C000A","09.9.00","        7.60","       55.8","3.3","11.8"," "
"T1","2019","M001","C000A","09","      130.20","        8.2","119.5","140.8"," "
"T1","2019","M001","C000A","10.1","        6.60","       18.9","5.4","7.8"," "
"T1","2019","M001","C000A","10.1.00","        6.60","       18.9","5.4","7.8"," "
"T1","2019","M001","C000A","10.2","        4.20","       24.6","3.1","5.2"," "
"T1","2019","M001","C000A","10.2.00","        4.20","       24.6","3.1","5.2"," "
"T1","2019","M001","C000A","10.3","        6.50","       41.2","3.8","9.2"," "
"T1","2019","M001","C000A","10.3.00","        6.50","       41.2","3.8","9.2"," "
"T1","2019","M001","C000A","10.4","        2.30","       67.4","0.7","3.8"," "
"T1","2019","M001","C000A","10.4.00","        2.30","       67.4","0.7","3.8"," "
"T1","2019","M001","C000A","10","       19.50","       17.2","16.2","22.9"," "
"T1","2019","M001","C000A","11.1","       25.20","       11.2","22.4","28"," "
"T1","2019","M001","C000A","11.1.01","       11.60","       21.7","9.1","14.1"," "
"T1","2019","M001","C000A","11.1.02","        0.40","       62.4","0.2","0.7"," "
"T1","2019","M001","C000A","11.1.03","       13.20","        7.5","12.2","14.2"," "
"T1","2019","M001","C000A","11.3","       14.80","       12.5","13","16.7"," "
"T1","2019","M001","C000A","11.3.01","        2.50","       42.9","1.4","3.5"," "
"T1","2019","M001","C000A","11.3.02","       12.40","       12.1","10.9","13.9"," "
"T1","2019","M001","C000A","11.4","       65.30","        3.9","62.7","67.8"," "
"T1","2019","M001","C000A","11.4.01","       10.10","        8.0","9.3","10.9"," "
"T1","2019","M001","C000A","11.4.02","        7.10","        9.3","6.4","7.7"," "
"T1","2019","M001","C000A","11.4.03","        2.20","       11.2","1.9","2.4"," "
"T1","2019","M001","C000A","11.4.04","       10.60","       11.4","9.4","11.8"," "
"T1","2019","M001","C000A","11.4.05","       10.90","        5.3","10.3","11.5"," "
"T1","2019","M001","C000A","11.4.06","       20.90","        6.1","19.6","22.1"," "
"T1","2019","M001","C000A","11.4.07","        3.50","       12.4","3.1","3.9"," "
"T1","2019","M001","C000A","11.5","        2.20","        9.5","2","2.4"," "
"T1","2019","M001","C000A","11.5.01","        2.20","        9.6","2","2.4"," "
